Database	Plasmid	Identity	Query / Template length	Contig	Position in contig	Note	Accession number
enterobacteriales	Col(pHAD28)	90.08	131 / 131	contig_3	787..917		KU674895
enterobacteriales	Col440II	99.29	282 / 282	contig_3	1496..1777		CP023921
enterobacteriales	IncFIB(pKPHS1)	97.32	560 / 560	contig_5	4123..4682		CP003223
enterobacteriales	IncFIB(pQil)	100.0	740 / 740	contig_4	94908..95647		JN233705
enterobacteriales	IncFII(K)	97.97	148 / 148	contig_4	51120..51267		CP000648
enterobacteriales	IncQ1	100.0	796 / 796	contig_2	5824..6619		M28829
