#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Uppsala-ecoli2.racon1.fasta.gz	contig_1	171557	172126	-	espY2	1-570/570	===============	0/0	100.00	94.56	vfdb	NP_285765	(espY2) Type III secretion system effector EspY2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	188592	189340	-	espY1	1-753/753	========/======	2/4	99.47	95.75	vfdb	NP_285753	(espY1) Type III secretion system effector EspY1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	228027	229448	+	espX1	1-1422/1422	===============	0/0	100.00	95.99	vfdb	NP_285716	(espX1) Type III secretion system effector EspX1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	712835	713863	-	chuS	1-1029/1029	===============	0/0	100.00	96.40	vfdb	NP_756169	(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	713912	715894	-	shuA	1-1983/1983	===============	0/0	100.00	98.54	vfdb	YP_405019	(shuA) outer membrane heme/hemoglobin receptor ShuA [Shu (VF0256)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	716499	717491	+	shuT	1-993/993	===============	0/0	100.00	98.09	vfdb	YP_405017	(shuT) periplasmic binding protein ShuT [Shu (VF0256)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	717511	718848	+	chuW	1-1338/1338	===============	0/0	100.00	96.79	vfdb	NP_756176	(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	718861	719355	+	shuX	1-495/495	===============	0/0	100.00	96.36	vfdb	YP_405016	(shuX) shu locus protein ShuX [Shu (VF0256)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	719355	719978	+	chuY	1-624/624	===============	0/0	100.00	96.47	vfdb	NP_756178	(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	720027	721019	+	chuU	1-993/993	===============	0/0	100.00	96.58	vfdb	NP_756179	(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	720986	721786	+	chuV	1-801/801	===============	0/0	100.00	98.25	vfdb	NP_756180	(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1016931	1019339	-	espY4	1-2409/2409	===============	0/0	100.00	96.43	vfdb	NP_290352	(espY4) Type III secretion system effector EspY4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1101654	1103082	-	aslA	1-1428/1428	========/======	1/1	100.00	97.13	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1371628	1373814	-	espL4	1-2187/2187	===============	0/0	100.00	97.44	vfdb	NP_290644	(espL4) Type III secretion system effector EspL4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1406096	1407676	+	espX4	1-1581/1581	===============	0/0	100.00	95.89	vfdb	NP_290672	(espX4) Type III secretion system effector EspX4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1449073	1450365	-	espX5	1-1293/1293	===============	0/0	100.00	95.90	vfdb	NP_290699	(espX5) Type III secretion system effector EspX5 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1736815	1737417	+	fimB	1-603/603	===============	0/0	100.00	99.50	vfdb	NP_757239	(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1737895	1738491	+	fimE	1-597/597	===============	0/0	100.00	99.50	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1738915	1739520	+	fimA	1-606/606	===============	0/0	100.00	92.24	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1739585	1740124	+	fimI	1-540/540	===============	0/0	100.00	99.44	vfdb	NP_757242	(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1740161	1740886	+	fimC	1-726/726	===============	0/0	100.00	99.17	vfdb	NP_757243	(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1740952	1743588	+	fimD	1-2637/2637	===============	0/0	100.00	99.01	vfdb	NP_757244	(fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1743595	1744128	+	fimF	1-534/534	===============	0/0	100.00	99.06	vfdb	NP_757245	(fimF) FimF protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1744141	1744644	+	fimG	1-504/504	===============	0/0	100.00	98.02	vfdb	NP_757247	(fimG) FimG protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1744655	1745566	+	fimH	1-912/912	===============	0/0	100.00	99.12	vfdb	NP_757248	(fimH) FimH protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1833518	1833634	-	astA	1-117/117	===============	0/0	100.00	99.14	vfdb	BAA94855	(astA) heat-stable enterotoxin 1 [EAST1 (VF0216)] [Escherichia coli O44:H18 042]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1986871	1987701	+	gspC	1-831/831	===============	0/0	100.00	95.31	vfdb	YP_404599	(gspC) general secretion pathway protein C [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1987941	1989791	+	gspD	1-1836/1836	========/======	1/15	100.00	95.57	vfdb	YP_404600	(gspD) general secretion pathway protein D [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1989791	1991284	+	gspE	1-1494/1494	===============	0/0	100.00	94.98	vfdb	YP_404601	(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1991284	1992483	+	gspF	1-1200/1200	===============	0/0	100.00	94.33	vfdb	YP_404602	(gspF) general secretion pathway protein F [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1992524	1992979	+	gspG	1-456/456	===============	0/0	100.00	96.49	vfdb	YP_404603	(gspG) general secretion pathway protein G [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1993016	1993546	+	gspH	1-531/531	===============	0/0	100.00	96.23	vfdb	YP_404604	(gspH) general secretion pathway protein H [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1993543	1993914	+	gspI	1-372/372	===============	0/0	100.00	92.74	vfdb	YP_404605	(gspI) general secretion pathway protein I [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1993947	1994516	+	gspJ	1-570/570	===============	0/0	100.00	94.74	vfdb	YP_404606	(gspJ) general secretion pathway protein J [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1994513	1995490	+	gspK	1-978/978	===============	0/0	100.00	96.01	vfdb	YP_404607	(gspK) general secretion pathway protein K [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1995805	1996665	+	gspL	1-861/861	===============	0/0	100.00	95.12	vfdb	YP_404608	(gspL) general secretion pathway protein L [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1996781	1997202	+	gspM	1-422/423	===============	0/0	99.76	96.21	vfdb	YP_404609	(gspM) general secretion pathway protein M [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	1998260	1999036	+	kpsM	1-777/777	===============	0/0	100.00	95.88	vfdb	AAA24046	(kpsM) KpsM [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	2005361	2007037	-	kpsD	1-1677/1677	===============	0/0	100.00	97.91	vfdb	AAA21682	(kpsD) KpsD [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	2070184	2070735	-	papX	1-552/552	===============	0/0	100.00	97.46	vfdb	NP_755457	(papX) PapX protein regulates flagellum synthesis to repress motility [P fimbriae (CVF425)] [Escherichia coli CFT073]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	3186098	3188119	-	fyuA	1-2022/2022	===============	0/0	100.00	99.95	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	3188250	3189827	-	ybtE	1-1578/1578	===============	0/0	100.00	99.87	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	3189831	3190634	-	ybtT	1-804/804	===============	0/0	100.00	99.63	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	3190631	3191731	-	ybtU	1-1101/1101	===============	0/0	100.00	99.64	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	3191728	3201219	-	irp1	1-9492/9492	===============	0/0	100.00	99.69	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
Uppsala-ecoli2.racon1.fasta.gz	contig_1	3201307	3207414	-	irp2	1-6108/6108	===============	0/0	100.00	99.51	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
