#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_217	142138	6	N	N	1	*	*,217,*
contig_52	139358	8	N	N	2	*	*,52,*
contig_454	132771	4	N	N	1	*	*,454,*
contig_35	110019	7	N	N	1	*	*,35,-39
contig_42	102083	8	N	N	2	*	*,42,-90
contig_1282	98045	6	N	N	1	*	*,1282,*
contig_57	97486	8	N	N	2	*	*,-67,57,34
contig_66	94776	6	N	N	1	*	*,66,67,*
contig_281	89307	7	N	N	1	*	*,281,*
contig_404	88616	5	N	N	1	*	*,404,*
contig_810	86410	5	N	N	1	*	*,810,*
contig_41	85626	7	N	N	1	*	-82,41,*
contig_58	83399	8	N	N	2	*	*,58,-78
contig_547	83257	7	N	N	2	*	*,547,*
contig_568	81434	8	N	N	2	*	*,568,*
contig_150	79298	5	N	N	1	*	*,150,*
contig_1251	74992	9	N	N	2	*	*,1251,*
contig_418	73740	5	N	N	1	*	*,418,*
contig_1307	73679	7	N	N	1	*	*,1307,*
contig_1087	73306	7	N	N	1	*	*,1087,*
contig_335	73074	9	N	N	1	*	335,*
contig_1323	72462	11	Y	N	2	*	1323
contig_1284	71548	5	N	N	1	*	*,1284,*
contig_181	70444	6	N	N	1	*	*,181,*
contig_151	69222	6	N	N	1	*	*,151,*
contig_1279	68764	6	N	N	1	*	*,1279,*
contig_286	67789	7	N	N	1	*	*,286,*
contig_1257	65463	6	N	N	1	*	*,1257,*
contig_1288	64603	7	N	N	2	*	*,1288,*
contig_1326	63171	5	N	N	1	*	*,1326,*
contig_43	62317	7	N	N	1	*	-34,-33,43,-90
contig_535	62285	6	N	N	1	*	*,535,*
contig_369	61964	5	N	N	1	*	*,369,*
contig_98	61527	7	N	N	2	*	*,98,*
contig_298	58454	6	N	N	1	*	*,298,*
contig_460	58092	7	N	N	2	*	*,460,*
contig_1241	56805	5	N	N	1	*	*,1241,*
contig_1318	54973	5	N	N	1	*	*,1318,*
contig_1034	54000	5	N	N	1	*	*,1034,*
contig_1204	53719	5	N	N	1	*	*,1204,*
contig_1181	53257	4	N	N	1	*	*,1181,*
contig_46	52641	9	N	N	2	*	46,-77,-76,82
contig_838	52531	5	N	N	1	*	*,838,*
contig_448	51521	5	N	N	1	*	*,448,*
contig_1297	51219	5	N	N	1	*	*,1297,*
contig_461	50593	6	N	N	1	*	*,461,*
contig_414	50332	8	N	N	1	*	*,414,*
contig_353	50201	4	N	N	1	*	*,353,*
contig_438	49931	9	N	N	1	*	*,438,*
contig_1302	49911	5	N	N	1	*	*,1302,*
contig_569	49686	7	N	N	1	*	*,569,*
contig_1099	49654	6	N	N	1	*	*,1099,*
contig_735	49158	7	N	N	1	*	*,735,*
contig_55	48840	6	N	N	1	*	-34,-33,55,-95
contig_1322	46758	4	N	N	1	*	*,1322,*
contig_262	46702	5	N	N	1	*	*,262,*
contig_45	46672	9	N	N	2	*	*,45,*
contig_149	46668	6	N	N	1	*	*,149,*
contig_767	46459	6	N	N	1	*	*,767,*
contig_111	46321	5	N	N	1	*	*,111,*
contig_1317	45694	5	N	N	1	*	*,1317,*
contig_1271	45619	5	N	N	1	*	*,1271,*
contig_462	45159	4	N	N	1	*	*,462,*
contig_1327	44927	5	N	N	1	*	*,1327,*
contig_417	44461	3	N	N	1	*	*,417,*
contig_1164	44381	4	N	N	1	*	*,1164,*
contig_1026	44112	5	N	N	1	*	*,1026,*
contig_205	43821	6	N	N	1	*	*,205,*
contig_1195	43429	4	N	N	1	*	*,1195,*
contig_1298	43343	6	N	N	1	*	*,1298,*
contig_1088	43190	5	N	N	1	*	*,1088,*
contig_434	42926	4	N	N	1	*	*,434,*
contig_663	42288	5	N	N	1	*	*,663,*
contig_322	42188	5	N	N	1	*	*,322,*
contig_1281	42146	6	N	N	1	*	*,1281,*
contig_339	41804	4	N	N	1	*	*,339,*
contig_671	41736	9	N	N	1	*	*,671,*
contig_1053	40860	3	N	N	1	*	*,1053,*
contig_1128	40580	5	N	N	1	*	*,1128,*
contig_590	40541	10	N	N	2	*	*,590,*
contig_1123	40342	5	N	N	1	*	*,1123,*
contig_138	40166	6	N	N	1	*	*,138,*
contig_143	39933	3	N	N	1	*	*,143,*
contig_1197	39710	5	N	N	1	*	*,1197,*
contig_1273	39564	4	N	N	1	*	*,1273,*
contig_1122	39010	6	N	N	1	*	*,1122,*
contig_1125	38632	4	N	N	1	*	*,1125,*
contig_839	38326	4	N	N	1	*	*,839,*
contig_1210	37759	5	N	N	1	*	*,1210,*
contig_497	37508	7	N	N	1	*	*,497,*
contig_56	37469	7	N	N	2	*	-36,56,*
contig_88	37352	8	N	N	2	*	39,88,-87,-77
contig_1001	37093	5	N	N	1	*	*,1001,*
contig_995	37019	4	N	N	1	*	*,995,*
contig_12	36663	4	N	N	1	*	*,12,*
contig_1313	36557	7	N	N	1	*	*,1313,*
contig_257	36304	7	N	N	2	*	*,257,*
contig_29	35750	8	N	N	1	*	*,29,*
contig_1299	35711	5	N	N	1	*	*,1299,*
contig_646	35692	5	N	N	1	*	*,646,*
contig_813	35592	5	N	N	1	*	*,813,*
contig_1234	35554	7	N	N	2	*	*,1234,*
contig_1098	35478	3	N	N	1	*	*,1098,*
contig_232	34792	5	N	N	1	*	*,232,*
contig_405	34576	4	N	N	1	*	*,405,*
contig_79	34486	6	N	N	1	*	95,79,-77
contig_112	34040	4	N	N	1	*	*,112,*
contig_379	33859	6	N	N	1	*	*,379,*
contig_1042	33022	17	Y	N	4	*	1042
contig_989	32796	6	N	N	1	*	*,989,*
contig_233	32746	7	N	N	2	*	*,233,*
contig_1229	32597	4	N	N	1	*	*,1229,*
contig_1072	32596	4	N	N	1	*	*,1072,*
contig_623	32592	4	N	N	1	*	*,623,*
contig_701	32502	7	N	N	2	*	*,701,*
contig_320	31931	6	N	N	1	*	*,320,*
contig_1116	31829	5	N	N	1	*	*,1116,*
contig_1016	31622	5	N	N	1	*	*,1016,*
contig_394	31596	4	N	N	1	*	*,394,*
contig_1268	31519	8	N	N	2	*	*,1268
contig_315	31469	4	N	N	1	*	*,315,*
contig_1129	31246	6	N	N	1	*	*,1129,*
contig_1106	30951	6	N	N	1	*	*,1106,*
contig_1052	30937	4	N	N	1	*	*,1052,*
contig_1141	30875	6	N	N	1	*	*,1141,*
contig_519	30593	5	N	N	1	*	*,519,*
contig_306	30237	5	N	N	1	*	*,306,*
contig_556	29876	4	N	N	1	*	*,556,*
contig_358	29874	6	N	Y	3	*	358
contig_276	29746	4	N	N	1	*	*,276,*
contig_18	29735	4	N	N	1	*	*,18,*
contig_1301	29679	4	N	N	1	*	*,1301,*
contig_1035	29484	7	N	N	1	*	*,1035,*
contig_169	29094	3	N	N	1	*	*,169,*
contig_1250	29056	5	N	N	1	*	*,1250,*
contig_665	29019	6	N	N	1	*	*,665,*
contig_409	28812	5	N	N	1	*	*,409,*
contig_408	28783	7	N	N	1	*	*,408,*
contig_73	28216	8	N	N	2	*	*,73,*
contig_167	28156	4	N	N	1	*	*,167,*
contig_537	28139	9	N	N	2	*	*,537,*
contig_1080	27839	3	N	N	1	*	*,1080,*
contig_1084	27818	5	N	N	1	*	*,1084,*
contig_326	27765	5	N	N	1	*	*,326,*
contig_1321	27725	7	Y	N	1	*	1321
contig_999	27668	4	N	N	1	*	*,999,*
contig_798	27579	5	N	N	1	*	*,798,*
contig_632	27532	11	N	N	2	*	*,632,*
contig_644	27476	4	N	N	1	*	*,644,*
contig_1151	27473	3	N	N	1	*	*,1151,*
contig_44	27467	7	N	N	2	*	44,*
contig_463	27416	6	N	N	1	*	*,463,*
contig_672	27209	4	N	N	1	*	*,672,*
contig_1272	27142	4	N	N	1	*	*,1272,*
contig_1221	27100	5	N	N	1	*	*,1221,*
contig_709	27086	3	N	N	1	*	*,709,*
contig_1119	27008	7	N	N	1	*	*,1119,*
contig_2	26917	11	N	N	3	*	*,2,*
contig_1290	26733	4	N	N	1	*	*,1290,*
contig_23	26732	6	N	N	1	*	*,23,*
contig_1228	26728	4	N	N	1	*	*,1228,*
contig_1150	26649	4	N	N	1	*	*,1150,*
contig_17	26649	5	N	N	1	*	*,17,*
contig_1261	26633	6	N	N	1	*	-33,1261,-39
contig_389	26556	4	N	N	1	*	*,389,*
contig_1014	26361	4	N	N	1	*	*,1014,*
contig_484	26353	6	N	N	1	*	*,484,*
contig_472	26202	5	N	N	1	*	*,472,*
contig_30	26162	4	N	N	1	*	*,30,*
contig_502	25958	4	N	N	1	*	*,502,*
contig_1289	25869	5	N	N	1	*	*,1289,*
contig_185	25839	4	N	N	1	*	*,185,*
contig_565	25818	4	N	N	1	*	*,565,*
contig_311	25801	5	N	N	1	*	*,311,*
contig_1117	25789	3	N	N	1	*	*,1117,*
contig_1233	25697	7	N	N	1	*	*,1233,*
contig_913	25605	6	N	N	1	*	*,913,*
contig_351	25555	5	N	N	1	*	*,351,*
contig_186	25547	3	N	N	1	*	*,186,*
contig_600	25527	4	N	N	1	*	*,600,*
contig_142	25213	4	N	N	1	*	*,142,*
contig_1227	25168	4	N	N	1	*	*,1227,*
contig_1081	25163	4	N	N	1	*	*,1081,*
contig_622	25144	5	N	N	1	*	*,622,*
contig_228	25009	10	N	N	1	*	*,228,229,*
contig_183	24882	4	N	N	1	*	*,183,*
contig_594	24850	6	N	N	1	*	*,594,*
contig_807	24821	8	N	N	2	*	*,807,*
contig_204	24799	7	N	N	1	*	*,204,*
contig_54	24730	8	N	N	2	*	54,*
contig_894	24698	8	N	N	2	*	*,894,*
contig_453	24682	5	N	N	1	*	*,453,*
contig_543	24598	4	N	N	1	*	*,543,*
contig_1049	24478	4	N	N	1	*	*,1049,*
contig_872	24424	4	N	N	1	*	*,872,*
contig_756	24177	5	N	N	1	*	*,756,*
contig_1200	24121	5	N	N	1	*	*,1200,*
contig_124	23973	4	N	N	1	*	*,124,*
contig_493	23937	4	N	N	1	*	*,493,*
