input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
kpn_racon2_assembly	blaSHV-11	class A broad-spectrum beta-lactamase SHV-11	ncbi	unknown	NG_050000.1	abricate	unknown	gene_presence_detected		100.0			BETA-LACTAM		563489	564349				contig_2														-	99.77
kpn_racon2_assembly	oqxA6	multidrug efflux RND transporter periplasmic adaptor subunit OqxA6	ncbi	unknown	NG_050424.1	abricate	unknown	gene_presence_detected		100.0			PHENICOL;QUINOLONE		2184934	2186109				contig_2														+	99.83
kpn_racon2_assembly	oqxB19	multidrug efflux RND transporter permease subunit OqxB19	ncbi	unknown	NG_050437.1	abricate	unknown	gene_presence_detected		100.0			PHENICOL;QUINOLONE		2186133	2189285				contig_2														+	99.11
kpn_racon2_assembly	fosA_gen	FosA family fosfomycin resistance glutathione transferase	ncbi	unknown	NG_047882.1	abricate	unknown	gene_presence_detected		98.33			FOSFOMYCIN		4077300	4077712				contig_2														+	98.79
kpn_racon2_assembly	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	ncbi	unknown	NG_047251.1	abricate	unknown	gene_presence_detected		100.0			GENTAMICIN		3118	3978				contig_4														+	100.0
kpn_racon2_assembly	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	ncbi	unknown	NG_056002.2	abricate	unknown	gene_presence_detected		99.15			STREPTOMYCIN		4467	5287				contig_4														+	99.88
kpn_racon2_assembly	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	ncbi	unknown	NG_047464.1	abricate	unknown	gene_presence_detected		100.0			STREPTOMYCIN		5287	6123				contig_4														+	100.0
kpn_racon2_assembly	aac(6')-Ib-AKT	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	ncbi	unknown	NG_056043.1	abricate	unknown	gene_presence_detected		100.0			AMIKACIN;KANAMYCIN;TOBRAMYCIN		3025	3579				contig_5														-	100.0
kpn_racon2_assembly	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	ncbi	unknown	NG_048935.1	abricate	unknown	gene_presence_detected		100.0			CEPHALOSPORIN		6452	7327				contig_5														+	100.0
kpn_racon2_assembly	qnrS1	quinolone resistance pentapeptide repeat protein QnrS1	ncbi	unknown	NG_050543.1	abricate	unknown	gene_presence_detected		100.0			QUINOLONE		11968	12624				contig_5														+	100.0
kpn_racon2_assembly	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	ncbi	unknown	NG_051730.1	abricate	unknown	gene_presence_detected		100.0			AMIKACIN;KANAMYCIN		16502	17281				contig_5														+	100.0
kpn_racon2_assembly	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	ncbi	unknown	NG_049326.1	abricate	unknown	gene_presence_detected		100.0			CARBAPENEM		19714	20526				contig_5														+	100.0
kpn_racon2_assembly	ble-MBL	bleomycin binding protein Ble-MBL	ncbi	unknown	NG_047559.1	abricate	unknown	gene_presence_detected		100.0			BLEOMYCIN		20530	20895				contig_5														+	100.0
