#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Uppsala-sau.racon1.fasta.gz	contig_1	171703	173163	+	ebp	1-1461/1461	===============	0/0	100.00	98.84	vfdb	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	561196	562155	+	hly/hla	1-960/960	===============	0/0	100.00	94.69	vfdb	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	587667	587990	-	isdG	1-324/324	===============	0/0	100.00	99.38	vfdb	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
Uppsala-sau.racon1.fasta.gz	contig_1	588009	588743	-	srtB	1-735/735	===============	0/0	100.00	99.05	vfdb	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	588805	589770	-	isdF	1-966/966	===============	0/0	100.00	99.07	vfdb	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	589783	590661	-	isdE	1-879/879	===============	0/0	100.00	99.89	vfdb	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
Uppsala-sau.racon1.fasta.gz	contig_1	590658	591734	-	isdD	1-1077/1077	===============	0/0	100.00	98.51	vfdb	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	591734	592417	-	isdC	1-684/684	===============	0/0	100.00	96.78	vfdb	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
Uppsala-sau.racon1.fasta.gz	contig_1	592626	593690	+	isdA	1-1053/1053	========/======	1/12	100.00	94.27	vfdb	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
Uppsala-sau.racon1.fasta.gz	contig_1	593892	595838	+	isdB	1-1938/1938	========/======	3/15	99.85	95.80	vfdb	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
Uppsala-sau.racon1.fasta.gz	contig_1	677571	678525	+	sspA	1-945/984	========/======	2/10	96.04	93.93	vfdb	NP_645749	(sspA) serine protease; V8 protease; glutamyl endopeptidase [V8 protease (VF0023)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	678727	679908	+	sspB	1-1182/1182	===============	0/0	100.00	97.29	vfdb	NP_645748	(sspB) staphopain cysteine proteinase SspB [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	679946	680275	+	sspC	1-330/330	===============	0/0	100.00	99.09	vfdb	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	849557	851065	-	vWbp	1-1527/1527	========/======	13/34	98.30	82.15	vfdb	YP_001331791	(vWbp) secreted von Willebrand factor-binding protein precursor [vWbp (VF0420)] [Staphylococcus aureus subsp. aureus str. Newman]	
Uppsala-sau.racon1.fasta.gz	contig_1	851672	854339	-	clfA	1-2635/2841	========/=====.	6/45	92.54	89.57	vfdb	NP_645581	(clfA) Clumping factor A fibrinogen-binding protein [Clumping factor (VF0004)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	858861	859583	+	sell	1-723/723	===============	0/0	100.00	99.58	vfdb	NP_645577	(sell) staphylococcal enterotoxin L precursor [Enterotoxin-like L (CVF065)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	859752	860552	-	sec	1-801/801	===============	0/0	100.00	97.88	vfdb	NP_645576	(sec) staphylococcal enterotoxin C precursor [Enterotoxin C (CVF057)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	862778	863482	+	tsst-1	1-705/705	===============	0/0	100.00	100.00	vfdb	NP_375120	(tsst-1) toxic shock syndrome toxin-1 [TSST-1 (VF0022)] [Staphylococcus aureus subsp. aureus N315]	
Uppsala-sau.racon1.fasta.gz	contig_1	1105132	1108600	-	sdrE	1-3426/3426	========/======	22/71	99.59	87.74	vfdb	NP_645335	(sdrE) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1108997	1112434	-	sdrD	631-4044/4044	..======/======	9/34	84.30	90.36	vfdb	NP_645334	(sdrD) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1113400	1116264	-	sdrC	1-2868/2868	========/======	7/55	98.99	88.67	vfdb	NP_645333	(sdrC) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1359246	1361321	-	geh	1-2073/2073	========/======	1/3	100.00	97.69	vfdb	NP_645114	(geh) glycerol ester hydrolase [Lipase (VF0012)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1393676	1395010	-	essB	1-1335/1335	===============	0/0	100.00	99.03	vfdb	NP_645078	(essB) type VII secretion system protein EssB monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1395023	1395265	-	esaB	1-243/243	===============	0/0	100.00	98.35	vfdb	NP_645076	(esaB) type VII secretion system protein EsaB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1395237	1395695	-	essA	1-459/459	===============	0/0	100.00	99.78	vfdb	NP_645075	(essA) type VII secretion system protein EssA monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1395695	1398724	-	esaA	1-3030/3030	===============	0/0	100.00	99.01	vfdb	NP_645074	(esaA) type VII secretion system protein EsaA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1398807	1399100	-	esxA	1-294/294	===============	0/0	100.00	99.66	vfdb	NP_645073	(esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1565957	1567102	-	cap8P	1-1146/1146	===============	0/0	100.00	98.95	vfdb	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1567179	1568441	-	cap8O	1-1263/1263	===============	0/0	100.00	99.13	vfdb	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]	
Uppsala-sau.racon1.fasta.gz	contig_1	1568495	1569382	-	cap8N	1-888/888	===============	0/0	100.00	97.97	vfdb	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]	
