#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Uppsala-kpne.racon1.fasta.gz	contig_1	30451	31521	+	ompA	1-1041/1041	========/======	2/30	100.00	83.75	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
Uppsala-kpne.racon1.fasta.gz	contig_1	436043	436788	-	entA	2-747/747	========/======	5/8	99.33	80.00	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
Uppsala-kpne.racon1.fasta.gz	contig_1	436798	437649	-	entB	1-858/858	========/======	4/8	99.18	82.65	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
Uppsala-kpne.racon1.fasta.gz	contig_1	444217	445098	+	fepG	112-993/993	.=======/======	2/2	88.72	80.07	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
Uppsala-kpne.racon1.fasta.gz	contig_1	445111	445882	+	fepC	17-788/816	===============	0/0	94.61	81.22	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
Uppsala-kpne.racon1.fasta.gz	contig_1	841623	842376	-	yagV/ecpE	3-756/756	===============	0/0	99.74	85.28	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-kpne.racon1.fasta.gz	contig_1	842302	843945	-	yagW/ecpD	1-1644/1644	===============	0/0	100.00	88.81	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-kpne.racon1.fasta.gz	contig_1	843935	846460	-	yagX/ecpC	1-2526/2526	========/======	2/2	99.96	87.42	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-kpne.racon1.fasta.gz	contig_1	846486	847154	-	yagY/ecpB	1-669/669	===============	0/0	100.00	87.89	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-kpne.racon1.fasta.gz	contig_1	847217	847800	-	yagZ/ecpA	1-584/588	===============	0/0	99.32	90.07	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
Uppsala-kpne.racon1.fasta.gz	contig_1	847875	848455	-	ykgK/ecpR	11-591/591	===============	0/0	98.31	86.58	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
