#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Uppsala-nme.racon1.fasta.gz	contig_1	102027	103431	-	mtrE	1-1404/1404	========/======	1/1	100.00	95.66	vfdb	NP_274717	(mtrE) multidrug efflux pump channel protein MtrE [MtrCDE (VF0451)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	103484	106688	-	mtrD	1-3204/3204	========/======	4/7	99.91	92.99	vfdb	NP_274718	(mtrD) multiple transferable resistance system protein MtrD [MtrCDE (VF0451)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	106700	107937	-	mtrC	1-1239/1239	========/======	1/1	99.92	96.53	vfdb	NP_274719	(mtrC) membrane fusion protein MtrC [MtrCDE (VF0451)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	161747	164509	-	tbpA	1-2748/2748	========/======	5/21	99.89	95.23	vfdb	NP_273508	(tbpA) transferrin-binding protein A [Tbp (VF0046)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	164596	166736	-	tbpB	1-2139/2139	========/======	21/82	98.13	85.19	vfdb	NP_273507	(tbpB) transferrin-binding protein B [Tbp (VF0046)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	311883	313116	+	pilG	1-1233/1233	========/======	1/1	100.00	99.51	vfdb	NP_273382	(pilG) pilus assembly protein PilG [Type IV pili (VF0075)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	313190	314050	+	pilD	1-861/861	===============	0/0	100.00	97.10	vfdb	NP_273381	(pilD) type IV pilus prepilin peptidase [Type IV pili (VF0075)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	314971	316649	-	pilF	1-1677/1677	========/======	2/2	100.00	99.52	vfdb	NP_273378	(pilF) type IV pilus assembly ATPase protein [Type IV pili (VF0075)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	321909	323435	-	farB	1-1527/1527	===============	0/0	100.00	96.14	vfdb	NP_273368	(farB) fatty acid efflux system protein FarB [FarAB (VF0450)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	323459	324613	-	farA	1-1155/1155	===============	0/0	100.00	99.39	vfdb	NP_273367	(farA) fatty acid efflux system protein FarA [FarAB (VF0450)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	449752	451265	+	katA	1-1515/1515	========/======	1/1	99.93	96.44	vfdb	NP_273273	(katA) catalase [KatA (VF0454)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	577183	578440	-	lipB	1-1260/1260	========/======	2/2	99.84	98.33	vfdb	NP_273146	(lipB) capsule polysaccharide modification protein LipB [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	578577	580689	-	lipA	1-2115/2115	========/======	2/2	99.91	98.20	vfdb	NP_273145	(lipA) capsule polysaccharide modification protein LipA [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	588812	589462	-	ctrD	1-651/651	===============	0/0	100.00	90.78	vfdb	NP_273138	(ctrD) capsule polysaccharide export ATP-binding protein CtrD [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	589459	590256	-	ctrC	1-798/798	===============	0/0	100.00	98.62	vfdb	NP_273137	(ctrC) capsule polysaccharide export inner-membrane protein CtrC [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	590256	591419	-	ctrB	1-1164/1164	===============	0/0	100.00	99.74	vfdb	NP_273136	(ctrB) capsule polysaccharide export inner-membrane protein CtrB [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	591434	592609	-	ctrA	1-1176/1176	========/======	2/2	99.91	99.66	vfdb	NP_273135	(ctrA) capsule polysaccharide export outer membrane protein CtrA [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	592736	593867	+	siaA/synA	1-1134/1134	========/======	1/2	99.82	98.24	vfdb	NP_273134	(siaA/synA) polysialic acid capsule biosynthesis protein SynX [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	593871	594557	+	siaB/synB	1-687/687	===============	0/0	100.00	100.00	vfdb	NP_273133	(siaB/synB) polysialic acid capsule biosynthesis protein SiaB [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	594558	595605	+	siaC/synC	1-1050/1050	========/======	1/2	99.81	99.71	vfdb	NP_273132	(siaC/synC) polysialic acid capsule biosynthesis protein SiaC [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	595689	596331	+	siaD/synD	1-644/678	========/======	1/1	94.84	99.84	vfdb	NP_273131	(siaD/synD) polysialic acid capsule biosynthesis protein SiaD; disrupted by foreign ermC cassette [Capsule (VF0079)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	615292	616335	+	pilT	1-1044/1044	===============	0/0	100.00	99.33	vfdb	NP_273117	(pilT) twitching motility protein PilT [Type IV pili (VF0075)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	616498	617724	+	pilU	1-1227/1227	===============	0/0	100.00	99.76	vfdb	NP_273116	(pilU) twitching motility protein PilU [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	627651	629219	+	msrA/B(pilB	1-1569/1569	===============	0/0	100.00	98.98	vfdb	NP_273110	(msrA/B(pilB)) trifunctional thioredoxin/methionine sulfoxide reductase A/B protein [MsrAB (VF0456)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	655309	655802	+	pilE	1-494/513	========/======	2/6	95.71	92.35	vfdb	NP_273084	(pilE) Type IV pilus major pilin subunit PilE [Type IV pili (VF0075)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	788294	789289	-	porB	1-996/996	========/======	2/6	99.70	95.30	vfdb	NP_275030	(porB) major outer membrane protein PIB [Porin (VF0081)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	876946	879378	-	hpuB	1-2433/2433	===============	0/0	100.00	96.09	vfdb	NP_283297	(hpuB) haemoglobin-haptoglobin-utilization protein [HpuAB (VF0049)] [Neisseria meningitidis Z2491]	
Uppsala-nme.racon1.fasta.gz	contig_1	879409	880444	-	hpuA	1-1074/1074	========/======	11/64	95.25	83.62	vfdb	NP_283298	(hpuA) haemoglobin-haptoglobin-utilization protein [HpuAB (VF0049)] [Neisseria meningitidis Z2491]	
Uppsala-nme.racon1.fasta.gz	contig_1	974521	975335	-	fHbp	1-818/963	========/====..	1/3	84.63	85.94	vfdb	NP_274866	(fHbp) factor H binding protein  [fHbp (VF0452)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1044655	1046940	-	pilQ	1-2310/2310	========/======	1/24	98.96	97.79	vfdb	NP_274809	(pilQ) type IV pilus secretin protein PilQ  [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1046959	1047503	-	pilP	1-546/546	========/======	1/1	99.82	99.63	vfdb	NP_274808	(pilP) type IV pilus biogenesis protein PilP [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1047521	1048167	-	pilO	1-648/648	========/======	1/1	99.85	99.38	vfdb	NP_274807	(pilO) type IV pilus inner membrane platform protein PilO [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1048168	1048767	-	pilN	1-600/600	===============	0/0	100.00	100.00	vfdb	NP_274806	(pilN) type IV pilus inner membrane platform protein PilN [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1048770	1049884	-	pilM	1-1116/1116	========/======	1/1	99.91	99.64	vfdb	NP_274805	(pilM) type IV pilus inner membrane platform protein PilM [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1206509	1206898	-	pilV	1-390/390	===============	0/0	100.00	95.39	vfdb	NP_273592	(pilV) type IV pilus minor pilin PilV [Type IV pili (CVF189)] [Neisseria meningitidis MC58]	
Uppsala-nme.racon1.fasta.gz	contig_1	1256801	1257715	-	mntC	1-915/915	===============	0/0	100.00	96.72	vfdb	NP_273630	(mntC) periplasmic binding protein MntC [MntABC (VF0455)] [Neisseria meningitidis MC58]	
